matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4246867983,2,0,0,0,2336,-1008,1383,731,683,0,0,0,1,0,0,1752,100,Gangplank,Zac,Zed,Ashe,Leona,Jax,Khazix,Ekko,Lucian,Nautilus
NA1_4249810674,1,1,0,1,936,1694,216,1817,2023,0,0,0,0,0,1,925,100,Gnar,Khazix,Vex,Ezreal,Brand,Yorick,Udyr,Yone,Ziggs,Pantheon
NA1_4260329763,0,2,0,1,-846,-1472,-5485,-2755,-339,1,2,2,0,0,0,911,200,Fiora,Rengar,Viktor,Kaisa,Galio,Teemo,Diana,Graves,Zeri,Pyke
NA1_4253638363,0,1,1,0,1312,397,1266,486,874,0,0,0,1,0,0,2800,200,Tryndamere,Ezreal,Varus,LeeSin,Karma,Graves,Volibear,Corki,Jinx,Lux
NA1_4259164367,0,1,0,1,-1981,2913,-114,83,-226,1,0,0,0,0,0,2189,200,Cassiopeia,Nocturne,Xerath,Zeri,Nami,Volibear,Kayn,Akshan,Ezreal,Seraphine
NA1_4246691567,2,0,0,1,101,-1400,1125,974,133,1,0,0,0,0,0,1872,200,Rengar,Volibear,Ekko,Zed,Lissandra,Chogath,MonkeyKing,Yone,Seraphine,Brand
NA1_4252260889,0,0,0,0,-666,30,1108,939,379,0,0,0,0,0,0,1535,100,Irelia,Ekko,Yone,Caitlyn,Leblanc,Cassiopeia,LeeSin,Yasuo,Aphelios,Sona
NA1_4248227233,2,0,1,0,-150,205,-1980,1463,1159,0,0,0,0,0,0,1441,100,Urgot,Shyvana,Vladimir,Zeri,Nautilus,Darius,LeeSin,Akali,Jhin,Thresh
NA1_4242993207,1,0,1,0,165,-250,-2135,1126,632,0,0,0,0,0,0,1620,200,Garen,XinZhao,Fizz,Jhin,Neeko,Jax,Nidalee,Twitch,Samira,Lux
NA1_4242265575,1,0,1,0,-1297,1201,473,1081,1432,0,0,0,0,1,1,2063,100,Quinn,JarvanIV,Caitlyn,Tryndamere,Lux,Yorick,Shyvana,Corki,Jhin,Ziggs
NA1_4248293379,0,2,1,0,1293,834,15,-403,-829,0,0,1,0,0,0,1972,200,Diana,Garen,Qiyana,Jinx,Lulu,Ekko,Viego,Kaisa,Twitch,Yuumi
NA1_4251437938,1,0,0,1,2683,2818,851,411,-675,0,0,0,0,0,0,1659,100,Teemo,Hecarim,Lux,Ashe,Alistar,Urgot,Kayn,Akali,Kaisa,Pyke
NA1_4257876871,1,0,0,0,-595,904,514,-1499,-972,1,0,0,0,0,0,1824,100,Quinn,JarvanIV,Syndra,Caitlyn,Thresh,TahmKench,XinZhao,Vladimir,Samira,Pyke
NA1_4254104785,1,0,0,0,3202,485,-736,1156,1814,0,0,0,1,0,1,958,100,Malphite,Khazix,Corki,Kaisa,RekSai,Teemo,Hecarim,Qiyana,Vayne,Blitzcrank
NA1_4241268586,0,1,0,1,2809,347,3217,1362,94,0,0,0,1,2,0,2517,100,Tryndamere,MasterYi,Ziggs,Samira,Blitzcrank,Graves,Khazix,Malzahar,Soraka,Lux
NA1_4257422775,1,0,0,0,1304,-955,4429,-1363,-75,0,0,0,1,1,0,2067,100,Yorick,Lillia,Yone,Twitch,Morgana,Fiora,Diana,Sylas,Sivir,Soraka
NA1_4251214961,0,2,1,0,1781,1894,-192,-1655,376,0,0,0,1,0,0,1800,100,Aatrox,Evelynn,Veigar,Jhin,Zyra,Graves,DrMundo,Jinx,Samira,Brand
NA1_4250706808,0,1,1,0,-879,949,1239,-1561,-1648,0,0,1,0,0,0,2720,100,Darius,Viego,Katarina,Caitlyn,Anivia,Mordekaiser,Lillia,Pantheon,Jinx,Karma
NA1_4245559268,2,0,0,0,2197,0,-186,1295,1545,0,0,0,1,0,0,1962,200,Tryndamere,Teemo,Galio,Kalista,Pantheon,Camille,MasterYi,Ryze,Vayne,Soraka
NA1_4251207176,2,0,1,0,5294,985,2357,666,742,0,0,0,2,1,0,949,100,Yone,Nidalee,Galio,Caitlyn,Bard,Singed,Trundle,Viktor,Twitch,Ashe
NA1_4257247315,2,0,0,0,1035,-230,299,596,-695,0,0,0,0,0,0,2070,200,Camille,Vi,Vex,Lucian,Nami,Kayle,Amumu,Yasuo,Ezreal,Xerath
NA1_4258158465,1,0,0,0,2339,-462,86,621,787,0,0,0,1,0,0,1466,100,Sett,Trundle,Annie,Jinx,Zilean,Nasus,Darius,Ryze,Ezreal,Amumu
NA1_4253601411,1,1,1,0,548,-1327,131,-2556,-358,0,0,1,0,0,0,1526,200,Singed,Camille,Irelia,MissFortune,Bard,Darius,LeeSin,Vladimir,Tristana,Sona
NA1_4252525420,1,0,1,0,1059,793,523,1233,1596,0,0,0,1,0,1,1424,100,Sion,Shaco,Yasuo,Yone,Seraphine,Darius,Graves,Zed,Varus,Yuumi
NA1_4242185247,2,0,1,0,-2056,1247,825,-128,-1118,0,0,0,0,0,0,2226,100,Urgot,Kayn,Lissandra,Ezreal,Thresh,Mordekaiser,Trundle,Ahri,Jhin,Lux
NA1_4257257814,1,0,0,1,12,-488,246,-916,216,0,0,0,0,0,0,1679,100,Teemo,Hecarim,Kayle,Zeri,Senna,Kled,Jax,Ahri,MissFortune,Lux
NA1_4240296323,1,1,0,1,2594,-405,-96,709,93,0,0,0,1,0,0,1438,100,Alistar,JarvanIV,Ryze,Ashe,Tryndamere,Jax,Khazix,Leblanc,Draven,Blitzcrank
