,Summoner ID
0,f4Hr2dRZ2ndSi0j-vTLGdzPcIfGIb3OouBD9zDlyNpso8n3n
1,1pIzMN2tLdRliDdrDy1Z58n64POlqe6cPDHw478_U-vjdxx_
2,Q_dd2P1DStBSz42-Sxd4_4IUH4t4xru-uYB7lpyCJqiahzLo
3,WR0x2RcJEWtyS85iZkgPeTEB3_pL3pleroGwmv20Dn8XqN0d
4,5Hgrke1YL2RDZ2q9Wc9y37H4TnsXaV9tVBmpsq7EPSWg6gPw
5,9nrRqsz2gKiNuhhdhKE-0ge80IMDdvSOH_FpHEXn49S9qKrR
6,-HIGzidpcyvNddh-Lb1Fpk1K7-TN2ItADKsUO16GmDafg1yP
7,YB0bOUPp7W2HSsNbEA4qpzAdDYbJuTVJx2EM56OkOGzxXZgp
8,GmRED9TzFR60hn9xca3jKfNj0GkzthWWSH6mehbJQMO6NhmL
9,kqLd9fW_Aukg7FPxTzK4P8ObRUx-PQmveFV0FY-H0TGh6koz
10,dTciVTZ24s0o6oy1qVOPPEvgaOTiuiDALd7gy5wUxSi1TBcW
11,T5j1vJPHK4k3neRH48YfUa83uAI0wmBdMRODw1sNEocmR6uA
12,y-nqc_rQEEAKVYQLjaW5xcpLKW6v9-FwUCaPujOXWM_03_lG
13,n8Tf1PVLg5sW0awJKhhnO6wgG7h3y4dGWCvALSZY4ODbVytL
14,Z9OZnPnAPBufDnE9lGTsVHlKQvD47XiK0T4oHNESayGgj0Qi
15,WKqWhU4-NnbPO1Xqgjk1Qxj9CqDws6dLjjBFrvsQ5re6uDiR
16,ZM6DU_xSILC1gsucmQRKaeCExEN9pIBbaLDVU6AUWQgKSAVh
17,ocO5oDlCVG3dOBgT-gbEB8M9iREzwoHJhWUFM7XceT2h6HzI
18,pN5ECzwAwQEQPaYBgw0fUBevQBliQV-CEIWVJsOBOyTlW9wd
19,DuSnBIlMBx1bufyWHAUnTUt1nbrcquaP8gwRNlJKQ3f8n1Wa
20,esrZ5J93sNxjMIya-AUjecowWa8eYjxczdZeMztPbWtxxLCb
21,BhE7fRSsZ4Fu1o0rkTrNhrVhqmtln6BVHSoKsPiud5FLj0f5
22,ak8j3v6hX2Ta-TEKgxJ3ca42anmloUBSB5kx52NAF_mT2LPC
23,TRsdEEvpy2iCrfoCemv7_9KdR8wwg2zAahpukQd3xFNnm6YK
24,_lPvdeaZ3-UKIPRggd-rkLvvYPdsEiihOwXcMEFEUjmMLH5p
25,0u7NcZNNBzw3GgPMEFCpt34WLtapkVTG6w0UDaMZvKgoIScn
26,eaUcNOPcMtqtqH5xChYsqn3ACdMNo1H1kTf3JN7YafDcnzM5
